Level	Rule Name	Subject	Property	Value
ERROR	multiple_definitions	RO:0002450	IAO:0000115	Holds between molecular entities A and B where A can physically interact with B and in doing so positively regulates a process that B is capable of.  For example, A and B may be gene products and binding of B by A positively regulates the kinase activity of B.	
ERROR	multiple_definitions	RO:0002450	IAO:0000115	Holds between molecules a and b if and only if a executes a process that directly activates a process executed by b.	
ERROR	multiple_definitions	RO:0002473	IAO:0000115	x composed_primarily_of y if and only if more than half of the mass of x is made from y or units of the same type as y.	
ERROR	multiple_definitions	RO:0002473	IAO:0000115	x composed_primarily_of y iff: more than half of the mass of x is made from parts of y	
ERROR	multiple_definitions	RO:0002488	IAO:0000115	Relation between continuant c and occurrent s, such that every instance of c comes into existing during some s.	
ERROR	multiple_definitions	RO:0002488	IAO:0000115	x existence starts during y if and only if the time point at which x starts is after or equivalent to the time point at which y starts and before or equivalent to the time point at which y ends. Formally: x existence starts during y iff α(x) >= α(y) & α(x) <= ω(y).	
ERROR	multiple_definitions	RO:0002489	IAO:0000115	Relation between continuant and occurrent, such that c comes into existence at the start of p.	
ERROR	multiple_definitions	RO:0002489	IAO:0000115	x starts ends with y if and only if the time point at which x starts is equivalent to the time point at which y starts. Formally: x existence starts with y iff α(x) = α(y).	
ERROR	multiple_definitions	RO:0002492	IAO:0000115	Relation between continuant c and occurrent s, such that every instance of c ceases to exist during some s, if it does not die prematurely.	
ERROR	multiple_definitions	RO:0002492	IAO:0000115	x existence ends during y if and only if the time point at which x ends is before or equivalent to the time point at which y ends and after or equivalent to the point at which y starts. Formally: x existence ends during y iff ω(x) <= ω(y) and ω(x) >= α(y).	
ERROR	multiple_definitions	RO:0002493	IAO:0000115	Relation between continuant and occurrent, such that c ceases to exist at the end of p.	
ERROR	multiple_definitions	RO:0002493	IAO:0000115	x existence ends with y if and only if the time point at which x ends is equivalent to the time point at which y ends. Formally: x existence ends with y iff ω(x) = ω(y).	
ERROR	multiple_definitions	RO:0002551	IAO:0000115	A relation between a segment or subdivision of an organism and the maximal subdivision of material entities that provides structural support for that segment or subdivision.	
ERROR	multiple_definitions	RO:0002551	IAO:0000115	A relation between a subdivision of an organism and the single subdivision of skeleton that provides structural support for that subdivision.	
ERROR	multiple_definitions	RO:0002608	IAO:0000115	Inverse of 'causal agent in process'	
ERROR	multiple_definitions	RO:0002608	IAO:0000115	Inverse of 'causal agent in'	
